,country,SubRegion,Territory,SI mean (21/01 - 29/11),SI Min value (21/01 – 29/11),SI Max value (21/01 - 29/11),Stringency_Mean_Min,Stringency_Max_Mean,Strigency_Index_First_case_day,Strigency_Index_Peak,pop_thousands,max_monthly_cases,max_weekly_cases,weeks_above_50,day_first_case,day_10th_case,day_50th_case,cases,deaths,cases_per_million,deaths_per_million,cases_per_million_population_in_neighbors,start_delay,day_10_delay,day_50_delay,Tourism_Arrivals,Tourism_Arrivals_standardised_by_population,Tourism_receipts,Tourism_receipts_standardised_by_population,GDP_per_capita,Capture_Fisheries,Capture_fisheries_standardised_by_population,Land_border_km,sea_border_km,total_border_km,agriculture_fishing_forestry,agriculture_fishing_forestry_standardised_by_population,Prepardness_Index_Total,Prepardness_Index_Total_Average,latitude,Urban_population_percentage,population_age_between_0_14_years_percentage,population age between 15-24 years (percentage),population age between 25-54 years (percentage),population age between 55-64 years (percentage),population age between 65 and over (percentage),male_pop_frac,fem_pop_frac,Pop_Density_per_sq_km
22,Guinea,Western Africa,Sea border,56.52682692,0,80.56,56.52682692,24.03317308,13.89,35.65,12771.25,2153,586,22,2020-03-13,2020-03-29,2020-04-01,13039,76,1020.965058,5.950866203,635.347783,17,25,17,99,0.007751786239,10.4,0.0008143290594,962.8,286675,22.44690222,4046,320,4366,2906.75,0.23,453,50.33,9.945587,37,41.2,19.32,30.85,4.73,3.91,48.281,51.719,51
23,Guinea-Bissau,Western Africa,Sea border,NA,NA,NA,NA,NA,NA,NA,1920.92,940,469,2,2020-03-25,2020-04-03,2020-04-16,2422,43,1260.854174,22.38510714,1001.595934,29,30,32,52.4,0.02727859567,20,0.01041167774,697.3,6700,3.487912042,762,350,1112,703.71,0.37,231,25.66666667,11.803749,44,43.17,20.38,30.24,3.12,3.08,48.876,51.124,67
24,Kenya,Eastern Africa,Sea border,64.18615385,2.78,88.89,61.40615385,24.70384615,36.11,62.96,52573.97,16450,7757,9,2020-03-13,2020-03-22,2020-03-30,83316,1452,1584.738607,27.61823009,571.8827913,17,18,15,2049,0.0389736594,1762,0.03351468417,1816.5,130946,2.490700246,3457,536,3993,32613.97,0.62,373,41.44,-0.023559,28,38.71,20.45,33.75,4.01,3.07,49.687,50.313,90
25,Lesotho,Southern Africa,Inland,53.72516026,0,90.74,53.72516026,37.01483974,11.11,71.3,2125.27,548,213,11,2020-05-13,2020-06-21,2020-07-02,2109,44,992.3445021,20.70325182,13451.59275,78,109,109,1142,0.5373434905,23.1,0.01086920721,1118.1,52,0.02446747943,1106,0,1106,107.69,0.05,317,35.22,-29.609988,29,31.3,19.26,38.86,4.98,5.6,49.309,50.691,69
26,Liberia,Western Africa,Sea border,58.70214744,0,87.96,58.70214744,29.25785256,13.89,79.63,4937.37,526,152,6,2020-03-16,2020-04-04,2020-04-11,1598,83,323.6540911,16.81056919,793.9351647,20,31,27,NA,NA,123,0.02491204832,621.9,14115,2.858809447,1667,579,2246,1200.98,0.24,477,53,6.428055,52,43.35,20.35,30.01,3.46,2.83,50.252,49.748,50
27,Madagascar,Eastern Africa,Island,52.29080128,0,95.37,52.29080128,43.07919872,19.44,68.98,26969.31,8219,2286,5,2020-03-21,2020-03-22,2020-03-31,17341,251,642.9901247,9.306875111,0,25,18,16,486,0.01802048328,951.5,0.0352808433,523.4,129568,4.804275675,0,4828,4828,3294.16,0.12,281,31.22222222,-18.766947,38,38.86,20.06,33.02,4.6,3.47,49.882,50.118,45
28,Malawi,Southern Africa,Inland,47.77676282,0,64.81,47.77676282,17.03323718,52.78,60.19,18628.75,2294,672,9,2020-04-02,2020-04-11,2020-05-09,6025,185,323.4248138,9.930886399,317.5110298,37,38,55,871,0.04675568677,47,0.00252298195,411.6,234949,12.61217205,2857,0,2857,1958.13,0.11,380,42.22222222,-13.254308,17,45.87,20.51,27.96,2.98,2.68,49.307,50.693,192
29,Mali,Western Africa,Inland,42.12907051,0,75,42.12907051,32.87092949,72.22,47.22,19658.03,947,433,5,2020-03-25,2020-03-27,2020-04-07,4688,152,238.4776094,7.732209179,989.2941539,29,23,23,217,0.011038746,231,0.01175092316,879,90386,4.597917492,7908,0,7908,6448.84,0.33,426,47.33333333,17.570692,43,47.69,19,26.61,3.68,3.02,50.079,49.921,16
30,Mauritania,Western Africa,Sea border,40.54945513,0,77.78,40.54945513,37.23054487,16.67,77.78,4525.7,3572,1201,4,2020-03-13,2020-05-13,2020-05-17,8424,172,1861.369512,38.00517047,1290.70123,17,70,63,30,0.006628808803,13.7,0.00302715602,1679.4,967707,213.8248227,5002,754,5756,1421.29,0.31,300,33.33,21.00789,55,37.56,19.71,33.91,4.9,3.92,50.199,49.801,4
31,Mauritius,Eastern Africa,Island,31.95429487,0,82.41,31.95429487,50.45570513,5.56,82.41,1265.71,304,120,3,2020-03-18,2020-03-20,2020-03-26,501,10,395.825268,7.900703953,0,22,16,11,1418,1.12031982,2024,1.59910248,11099.2,28314,22.37005317,0,177,177,407.04,0.32,653,72.56,-20.348404,41,19.44,14.06,43.11,12.31,11.08,49.381,50.619,623
